time,desired_q1,desired_q2,actual_q1,actual_q2,error_q1,error_q2,error_norm
26.534253,-0.01130854,0.49990526,0.11952008,-0.64162900,-0.13082862,1.14153426,1.14900679
26.554186,-0.00282741,0.49999408,0.00910887,-0.18175056,-0.01193628,0.68174464,0.68184913
26.574318,0.00565472,0.49997631,0.03889632,-0.25682036,-0.03324160,0.75679667,0.75752637
26.594536,0.01413484,0.49985197,0.16139614,-0.70122938,-0.14726130,1.20108135,1.21007533
26.614832,0.02260994,0.49962109,0.09751757,-0.43418928,-0.07490763,0.93381037,0.93680999
26.634920,0.03107701,0.49928375,0.13874542,-0.57966556,-0.10766841,1.07894931,1.08430812
26.654304,0.03953304,0.49884008,0.15092702,-0.59482580,-0.11139398,1.09366588,1.09932419
26.674179,0.04797502,0.49829024,0.06717106,-0.24675511,-0.01919604,0.74504535,0.74529260
26.694092,0.05639996,0.49763441,0.17972958,-0.66040228,-0.12332962,1.15803669,1.16458540
26.714181,0.06480485,0.49687284,0.18876917,-0.68926946,-0.12396432,1.18614230,1.19260250
26.734198,0.07318672,0.49600578,0.09145007,-0.30265730,-0.01826335,0.79866308,0.79887187
26.754290,0.08154259,0.49503356,0.16361868,-0.57068861,-0.08207609,1.06572217,1.06887803
26.774314,0.08986949,0.49395652,0.15483515,-0.51026473,-0.06496566,1.00422125,1.00632045
26.794354,0.09816446,0.49277503,0.07682034,-0.17825746,0.02134412,0.67103249,0.67137186
26.814328,0.10642455,0.49148952,0.20647138,-0.64967964,-0.10004683,1.14116916,1.14554634
26.834315,0.11464683,0.49010045,0.21346637,-0.66609383,-0.09881954,1.15619428,1.16040964
26.854264,0.12282837,0.48860830,0.12500476,-0.31137721,-0.00217639,0.79998551,0.79998847
26.874344,0.13096628,0.48701362,0.21547959,-0.65045454,-0.08451331,1.13746816,1.14060348
26.894370,0.13905765,0.48531695,0.21779233,-0.64764799,-0.07873468,1.13296494,1.13569745
26.914343,0.14709961,0.48351892,0.13943716,-0.33094277,0.00766245,0.81446169,0.81449774
26.934357,0.15508932,0.48162016,0.24874700,-0.74582203,-0.09365768,1.22744219,1.23101019
26.954362,0.16302392,0.47962133,0.26004449,-0.79981161,-0.09702057,1.27943294,1.28310624
26.974392,0.17090059,0.47752316,0.15809915,-0.39683572,0.01280144,0.87435888,0.87445259
26.994525,0.17871655,0.47532639,0.19234125,-0.51827733,-0.01362470,0.99360372,0.99369713
